timestamp,replies,likes,retweets,sentence,row,has_media,hashtags,is_replied,is_reply_to,links,reply_to_users,timestamp_epochs,year,month,day
2017-01-01 15:17:28,moderate,moderate,high,#Happy2017: Commit to your physical fitness. Regular exercise improves psychological & physical health - _URL  #FITmasTime _IMAGE,0,True,"['Happy2017', 'FITmasTimepic']",True,False,['http://j.mp/2iV1y0k'],[],1483283848,2017,1,1
2017-01-01 05:00:47,moderate,high,high,"#HappyNewYear from the #USNavy: a forward, fast and flexible force. Let’s get 2017 underway! _IMAGE",1,True,"['HappyNewYear', 'USNavy']",True,False,[],[],1483246847,2017,1,1
2017-01-01 04:18:29,small,small,small,#ICYMI: #USSJohnSMcCain sailed into 2017 with a #USNavy tradition: poetic midnight deck log entry - _URL  #HappyNewYear _IMAGE,2,True,"['ICYMI', 'USSJohnSMcCain', 'USNavy', 'HappyNewYearpic']",True,False,['http://bitly.com/2hEeeqA'],[],1483244309,2017,1,1
2017-01-01 03:32:10,small,small,moderate,Countdown to 2017 with a look back at our most retweeted. #HappyNewYear “@USNavy's most retweeted in 2016” _RETWEET …,3,False,['HappyNewYear'],True,False,['https://twitter.com/i/moments/815389681642827776'],[],1483241530,2017,1,1
2017-01-01 02:29:40,high,high,high,#AtMidnightIn4Words: #USNavy is on watch. _IMAGE,4,True,"['AtMidnightIn4Words', 'USNavy']",True,False,[],[],1483237780,2017,1,1
2017-01-02 16:09:42,moderate,moderate,moderate,#MondayMotivation: #USNavy homecoming moments like this. _IMAGE,5,True,"['MondayMotivation', 'USNavy']",True,False,[],[],1483373382,2017,1,2
2017-01-03 19:24:21,small,moderate,moderate,#USNavy #USSRoosevelt completes seven-month deployment to @US5thFleet and @USNavyEurope - _URL  (File photo) _IMAGE,6,True,"['USNavy', 'USSRoosevelt']",True,False,['http://bitly.com/2hObSH7'],[],1483471461,2017,1,3
2017-01-03 14:56:42,small,moderate,high,Start 2017 with positive thinking. Use this and all #USNavy #FITmasTime tips to prioritize your health this year - _URL  _IMAGE,7,True,"['USNavy', 'FITmasTime']",True,False,['http://bitly.com/2iLnS95'],[],1483455402,2017,1,3
2017-01-03 12:21:11,small,small,small,THIS WEEK: #USNavy’s @CVN70 Strike Group set to deploy to Western Pacific - _URL  _IMAGE,8,True,['USNavy'],True,False,['http://bitly.com/2hNHgDV'],[],1483446071,2017,1,3
2017-01-04 17:23:45,moderate,moderate,moderate,#ICYMI: #USNavy’s @CVN70 Strike Group set to deploy starting Thursday to Western Pacific - _URL  #PresenceMatters _IMAGE,9,True,"['ICYMI', 'USNavy', 'PresenceMatterspic']",True,False,['http://bitly.com/2hRqTbe'],[],1483550625,2017,1,4
2017-01-04 14:39:26,small,small,small,Questions about a military move? Help is available - _URL  _IMAGE,10,True,[],True,False,['http://bitly.com/2iPdgGr'],[],1483540766,2017,1,4
2017-01-05 16:41:46,moderate,moderate,moderate,"The CSG’s approximately 7,500 Sailors are deploying to Western Pacific. MT @CVN70: #USNavy #USSCarlVinson has the watch #SanDiego. _IMAGE",11,True,"['USNavy', 'USSCarlVinson', 'SanDiego']",True,False,[],[],1483634506,2017,1,5
2017-01-05 13:03:32,moderate,moderate,moderate,Evenings colors is performed aboard #USNavy’s @CVN70 Wednesday; the CSG begins to deploy today to Western Pacific - _URL  _IMAGE,12,True,['USNavy'],True,False,['http://bitly.com/2hRqTbe'],[],1483621412,2017,1,5
2017-01-06 22:29:49,moderate,moderate,moderate,#FridayReads: How does Distributed lethality & forward presence enable #SeaControl? @NAVSURFOR explains - _URL  #SNA2017 _IMAGE,13,True,"['FridayReads', 'SeaControl', 'SNA2017pic']",True,False,['http://bitly.com/2jd6eus'],[],1483741789,2017,1,6
2017-01-06 16:35:27,moderate,moderate,moderate,"MT @SECNAV: #SECNAV – Because you (#USNavy #Sailors & @USMC #Marines) are our best, we have to do our best for you. #PeopleMatter _IMAGE",14,True,"['SECNAV', 'USNavy', 'Sailors', 'Marines', 'PeopleMatterpic']",True,False,[],[],1483720527,2017,1,6
2017-01-06 16:31:43,moderate,small,small,MT @SECNAV: #SECNAV – We now get 60% of #energy for our bases from alternative sources. #USNavy @USMC #PowerMatters _IMAGE,15,True,"['SECNAV', 'energy', 'USNavy', 'PowerMatterspic']",True,False,[],[],1483720303,2017,1,6
