__label__moderate	#Innovation boot camp in #SanDiego to help Sailors advance ideas and solve problems - _URL … _IMAGE	1689
__label__moderate	MT @PacificCommand: Sailors inspect aircraft & perform maintenance aboard #USSTheodoreRoosevelt, ensuring carrier is ready for flight ops _IMAGE	1428
__label__moderate	MT @USPacificFleet: For the second time in recent months, #USSJohnCStennis receives supplies at sea in the #IndianOcean through a temporary cargo transfer initiative in #SriLanka - _URL … (File photo) _IMAGE	3121
__label__high	: #USSGeraldRFord ushering in new age of #tech & innovation _URL : Commissioning Sat. 10A ET _URL  _IMAGE	943
__label__small	#USNavy to christen newest guided-missile destroyer, #USSThomasHudner #DDG116. - _URL  _IMAGE	341
__label__small	Service Secretaries tackle employment challenges for overseas spouses - _URL …	3585
__label__high	#ICYMI: #USNavy destroyers fire Tomahawk missiles into Syria in retaliation for use of banned chemical weapons - _URL  _IMAGE	388
__label__moderate	That #FridayFeeling when the weekend takes flight.#USSWinstonSChurchill fires a Standard Missile 2 today in Atlantic Ocean. The Arleigh Burke-class guided-missile destroyer deployed yesterday from Naval Station Norfolk. _IMAGE	2051
__label__moderate	MT @SECNAV76: #SECNAV76 visited #USSJohnWarner Thursday to tour the submarine and hear from Sailors during his first visit to #Norfolk. _IMAGE	1044
__label__small	MT @USNavyUnderSec: I met with our partners in the Papua New Guinea Gov’t and Defense Force. I appreciate their professionalism, dedication and look forward to continued partnership and working with them on their efforts to strengthen their maritime defense force. @USEmbassyPOM _IMAGE	2675
__label__small	MT @NavyOutreach: Music to our ears! @NavyBandGL performs joint concert with @CityOfAppleton band during their weekly concert for #NavyWeek. _IMAGE	961
__label__moderate	Around fleet with today's #USNavy photos of day:Sailors handle ordnance, @USMC MV-22B Osprey prepares for take off, #USSConstitution Sailors parade colors at @RaysBaseball & Sailors aboard #USSJohnCStennis machine fuel valve. info and download: _URL … _IMAGE	2194
__label__small	#OTD = On This Day	1487
__label__high	LIVE 9:45A ET: Watch #USNavy's newest Sailors graduate boot camp - _URL … #ForgedByTheSea	2972
__label__small	@HallieJackson, #USNavy @BlueAngels looked great as #SundayTODAY's photo of the week. Here's a few more from #FleetWeekSF! @WillieGeist _IMAGE	1308
__label__high	#LIVENOW: Watch the #USNavy's newest Sailors graduate boot camp before they're #ForgedByTheSea! Welcome to the fleet shipmates. _RETWEET …	3697
__label__high	RT if you agree not all heroes wear capes! #USNavy Sailors, past and present, serve to protect and defend America! #NationalSuperheroDay _IMAGE	504
__label__moderate	TODAY: Two attack submarines each move closer towards increasing our #NavyCapacity, which will add to our #NavyLethality. Future #USSDelaware's christening - _URL … @drbiden Future #USSVermont's christening - _URL … _IMAGE	2772
__label__small	SOON: VCNO Bill Moran ( _URL …) discusses transforming #USNavy training at #IITSEC. Follow for live tweets from #Orlando. @usnpeople @cnorichardson _IMAGE	1549
__label__high	Our #242NavyBday was yesterday, but #USNavy USSNimitz's cake still looks delicious today on #NationalDessertDay. _IMAGE	1336
__label__moderate	#ICYMI: #USSFitzgerald departs Fleet Activities Yokosuka, beginning journey to Pascagoula, Mississippi for further repairs - _URL … via @US7thFleet _IMAGE	1528
__label__moderate	Around the fleet with Wednesday's photos of the day:@BlueAngels take flight over #Biloxi, #RIMPAC replenishment-at sea, #Fargo-Moorhead Metro gets to know our #USNavy, and Seabees unload a mooring buoy. info and download: _URL … _IMAGE	2442
__label__high	#USNavy will commission its newest fast attack submarine, the future #USSColorado #SSN788, tomorrow at Naval Submarine Base New London in Groton, #Connecticut. - _URL … _IMAGE	1972
__label__moderate	UPDATE: Confirmed by @CENTCOM. While operating in the #GulfOfOman, #USSBainbridge rescues twenty-one mariners from the M/V Kokuka Courageous, who abandoned ship - _URL …	3728
__label__small	#TBT to #OTD 1945: PHM1 Francis Pierce’s toughness and initiative during Iwo Jima campaign earns him #MedalOfHonor - _URL  _IMAGE	290
__label__high	#USSWasp arrives in #Okinawa to embark Marines assigned to 31st MEU after completing series of flight operations with #F35B Lightning - _URL … _IMAGE	1976
__label__moderate	#USNavy photos of the day: #VP45 aircrew host #JMSDF aboard a P-8 Poseidon, @NavyMedicine conduct combat casualty training in Brunei, #USSNormandy Sailors man a forward security team, and a #VBSS team inspects a Dhow in the #GulfofAden. Info & download _URL … _IMAGE	4255
__label__high	We will #NeverForget #September11th – especially with USS New York, USS Arlington and USS Somerset protecting and defending America. _IMAGE	1197
__label__high	3,00 #USNavy & @USMC personnel are participating in Arctic Expeditionary Capabilities Exercise (AECE) 2019 in the Aleutian Islands and south-central Alaska. Combining cold weather training with community #Outreach, Navy divers help remove hazards to navigation. #NavyReadiness _IMAGE	4085
__label__small	LIVE SOON: #USSCole Remembrance Ceremony: _URL …: _URL … _IMAGE	1324
