__label__moderate	Trump signs order to improve mental health resources for transitioning veterans - _URL … _IMAGE	1748
__label__small	#OTD = On This Day	1487
__label__moderate	Exercise #CutlassExpress 2019 begins, assessing and improving combined maritime law enforcement capacity, promoting national and regional security in East Africa as well as information sharing, planning and operating - _URL … #NavyPartnerships via @USNavyEurope _IMAGE	3134
__label__moderate	MT @IDFSpokesperson: Thanks @USNavy and @MarineNationale for joining Israeli Navy in simulating dismantling naval mines and combating terror _IMAGE	969
__label__high	#USNavy #USSCarlVinson CSG continues western Pacific deployment with a photoex with Japan Maritime Self-Defense Force, March 28. _IMAGE	349
__label__small	Just a few days away until we are underway strengthening #NavyPartnerships and making a difference! _RETWEET …	3718
__label__small	#DYK: #IgnatiusDDG117's sponsor is the namesake's wife, Nancy Ignatius (front right) _IMAGE	392
__label__small	#DYK? MT @SurfaceWarriors: Named for #Portland, Oregon, @USNavy's newest amphibious transport dock ship, future #USSPortland #LPD27, will be commissioned there during a ceremony Saturday. @ThePortlandTrib @TedWheeler _IMAGE	2095
__label__moderate	#OTD 1995 : #USSTucson was commissioned at #NavalStationNorfolk. @CityOfTucson @JRothschildAZ _IMAGE	1076
__label__moderate	Get to know the world’s most modern and sophisticated attack submarine, our #USNavy's future #USSIndiana #SSN789 before its commissioning Saturday at 10A ET, which you can watch live.: _URL …: _URL … _IMAGE	2681
__label__moderate	MT @USPacificFleet: After post-#TalismanSaber visits and #Australia hospitality, #USNavy ships resumed @US7thFleet ops over past few days. _IMAGE	991
__label__high	Around the fleet with today's #USNavy photos of the day:#USSHarrySTruman supports Operation Inherent Resolve, the last signal, #USSPorter resupplies underway, and #PacificPartnership 2018 opens in #Vietnam. info and download: _URL … _IMAGE	2224
__label__moderate	Initial #USNavy #Japan-based CVW-5 jet squadrons fly-in to MCAS Iwakuni - _URL … (File photo) _IMAGE	1542
__label__high	This weekend following its christening in Wisconsin, our #USNavy's future #USStLouis #LCS19 splashed during its launch towards playing a critical role in strengthening naval power, increasing agility and protecting our national interests - _URL … _IMAGE	2978
