NORMALITY:
                                                      W      pval  normal
likes_fasttext_False_XGBClassifier             0.941662  0.677713    True
likes_fasttext_False_RandomForestClassifier    0.930464  0.599540    True
likes_fasttext_False_RidgeClassifier           0.930464  0.599540    True
likes_fasttext_False_MLPClassifier             0.943842  0.693212    True
likes_glove_False_XGBClassifier                0.914953  0.497917    True
likes_glove_False_RandomForestClassifier       0.826366  0.130616    True
likes_glove_False_RidgeClassifier              0.826366  0.130616    True
likes_glove_False_MLPClassifier                0.976836  0.917028    True
likes_distilbert_False_XGBClassifier           0.954489  0.769181    True
likes_distilbert_False_RandomForestClassifier  0.843874  0.175918    True
likes_distilbert_False_RidgeClassifier         0.843874  0.175918    True
likes_distilbert_False_MLPClassifier           0.992583  0.987911    True
likes_roberta_False_XGBClassifier              0.673133  0.004908   False
likes_roberta_False_RandomForestClassifier     0.633918  0.001705   False
likes_roberta_False_RidgeClassifier            0.633918  0.001705   False
likes_roberta_False_MLPClassifier              0.846564  0.183899    True
likes_structured_False_XGBClassifier           0.952940  0.758163    True
likes_structured_False_RandomForestClassifier  0.827221  0.132578    True
likes_structured_False_RidgeClassifier         0.827221  0.132578    True
likes_structured_False_MLPClassifier           0.819241  0.115202    True
likes_roberta_True_XGBClassifier               0.700548  0.009704   False
likes_roberta_True_RandomForestClassifier      0.595238  0.000541   False
likes_roberta_True_RidgeClassifier             0.595238  0.000541   False
likes_roberta_True_MLPClassifier               0.982915  0.949586    True
likes_fasttext_True_XGBClassifier              0.893965  0.377436    True
likes_fasttext_True_RandomForestClassifier     0.895893  0.387606    True
likes_fasttext_True_RidgeClassifier            0.895893  0.387606    True
likes_fasttext_True_MLPClassifier              0.829054  0.136865    True
likes_glove_True_XGBClassifier                 0.899689  0.408172    True
likes_glove_True_RandomForestClassifier        0.967119  0.856458    True
likes_glove_True_RidgeClassifier               0.967119  0.856458    True
likes_glove_True_MLPClassifier                 0.976671  0.916077    True
likes_distilbert_True_XGBClassifier            0.988207  0.973044    True
likes_distilbert_True_RandomForestClassifier   0.791162  0.068516    True
likes_distilbert_True_RidgeClassifier          0.791162  0.068516    True
likes_distilbert_True_MLPClassifier            0.984108  0.955324    True

 ANOVA:
                 sum_sq     df          F         PR(>F)
C(treatments)  0.589692   35.0  25.048175  2.401166e-107
Residual       0.581159  864.0        NaN            NaN

 HSD Tukey:
                                       Multiple Comparison of Means - Tukey HSD, FWER=0.05                                        
==================================================================================================================================
                    group1                                        group2                    meandiff p-adj   lower   upper  reject
----------------------------------------------------------------------------------------------------------------------------------
         likes_distilbert_False_MLPClassifier likes_distilbert_False_RandomForestClassifier   0.0373  0.001  0.0091  0.0656   True
         likes_distilbert_False_MLPClassifier        likes_distilbert_False_RidgeClassifier   0.0373  0.001  0.0091  0.0656   True
         likes_distilbert_False_MLPClassifier          likes_distilbert_False_XGBClassifier   0.0318 0.0081  0.0035    0.06   True
         likes_distilbert_False_MLPClassifier           likes_distilbert_True_MLPClassifier   0.0171    0.9 -0.0111  0.0454  False
         likes_distilbert_False_MLPClassifier  likes_distilbert_True_RandomForestClassifier   0.0387  0.001  0.0104  0.0669   True
         likes_distilbert_False_MLPClassifier         likes_distilbert_True_RidgeClassifier   0.0387  0.001  0.0104  0.0669   True
         likes_distilbert_False_MLPClassifier           likes_distilbert_True_XGBClassifier   0.0307 0.0149  0.0024  0.0589   True
         likes_distilbert_False_MLPClassifier            likes_fasttext_False_MLPClassifier  -0.0258 0.1417  -0.054  0.0025  False
         likes_distilbert_False_MLPClassifier   likes_fasttext_False_RandomForestClassifier  -0.0005    0.9 -0.0287  0.0278  False
         likes_distilbert_False_MLPClassifier          likes_fasttext_False_RidgeClassifier  -0.0005    0.9 -0.0287  0.0278  False
         likes_distilbert_False_MLPClassifier            likes_fasttext_False_XGBClassifier   0.0042    0.9  -0.024  0.0325  False
         likes_distilbert_False_MLPClassifier             likes_fasttext_True_MLPClassifier   -0.018 0.8428 -0.0463  0.0102  False
         likes_distilbert_False_MLPClassifier    likes_fasttext_True_RandomForestClassifier   0.0009    0.9 -0.0274  0.0291  False
         likes_distilbert_False_MLPClassifier           likes_fasttext_True_RidgeClassifier   0.0009    0.9 -0.0274  0.0291  False
         likes_distilbert_False_MLPClassifier             likes_fasttext_True_XGBClassifier   0.0029    0.9 -0.0254  0.0311  False
         likes_distilbert_False_MLPClassifier               likes_glove_False_MLPClassifier  -0.0042    0.9 -0.0325   0.024  False
         likes_distilbert_False_MLPClassifier      likes_glove_False_RandomForestClassifier   0.0267 0.1002 -0.0016  0.0549  False
         likes_distilbert_False_MLPClassifier             likes_glove_False_RidgeClassifier   0.0267 0.1002 -0.0016  0.0549  False
         likes_distilbert_False_MLPClassifier               likes_glove_False_XGBClassifier   0.0147    0.9 -0.0136  0.0429  False
         likes_distilbert_False_MLPClassifier                likes_glove_True_MLPClassifier   0.0084    0.9 -0.0198  0.0367  False
