NORMALITY:
                                                        W      pval  normal
replies_fasttext_False_XGBClassifier             0.926137  0.570275    True
replies_fasttext_False_RandomForestClassifier    0.909668  0.465597    True
replies_fasttext_False_RidgeClassifier           0.909668  0.465597    True
replies_fasttext_False_MLPClassifier             0.917402  0.513321    True
replies_glove_False_XGBClassifier                0.850354  0.195639    True
replies_glove_False_RandomForestClassifier       0.920967  0.536197    True
replies_glove_False_RidgeClassifier              0.920967  0.536197    True
replies_glove_False_MLPClassifier                0.851071  0.197927    True
replies_distilbert_False_XGBClassifier           0.972054  0.888265    True
replies_distilbert_False_RandomForestClassifier  0.888423  0.349234    True
replies_distilbert_False_RidgeClassifier         0.888423  0.349234    True
replies_distilbert_False_MLPClassifier           0.964764  0.840704    True
replies_roberta_False_XGBClassifier              0.874422  0.284795    True
replies_roberta_False_RandomForestClassifier     0.913551  0.489219    True
replies_roberta_False_RidgeClassifier            0.913551  0.489219    True
replies_roberta_False_MLPClassifier              0.882839  0.322374    True
replies_structured_False_XGBClassifier           0.918030  0.517312    True
replies_structured_False_RandomForestClassifier  0.803252  0.086110    True
replies_structured_False_RidgeClassifier         0.803252  0.086110    True
replies_structured_False_MLPClassifier           0.987028  0.968287    True
replies_roberta_True_XGBClassifier               0.951562  0.748340    True
replies_roberta_True_RandomForestClassifier      0.913341  0.487926    True
replies_roberta_True_RidgeClassifier             0.913341  0.487926    True
replies_roberta_True_MLPClassifier               0.888813  0.351171    True
replies_fasttext_True_XGBClassifier              0.909544  0.464857    True
replies_fasttext_True_RandomForestClassifier     0.773993  0.048902   False
replies_fasttext_True_RidgeClassifier            0.773993  0.048902   False
replies_fasttext_True_MLPClassifier              0.886612  0.340353    True
replies_glove_True_XGBClassifier                 0.852894  0.203842    True
replies_glove_True_RandomForestClassifier        0.946054  0.708993    True
replies_glove_True_RidgeClassifier               0.946054  0.708993    True
replies_glove_True_MLPClassifier                 0.927187  0.577314    True
replies_distilbert_True_XGBClassifier            0.987901  0.971836    True
replies_distilbert_True_RandomForestClassifier   0.975668  0.910222    True
replies_distilbert_True_RidgeClassifier          0.975668  0.910222    True
replies_distilbert_True_MLPClassifier            0.981366  0.941795    True

 ANOVA:
                 sum_sq     df         F        PR(>F)
C(treatments)  0.236106   35.0  8.815386  7.740333e-38
Residual       0.661169  864.0       NaN           NaN

 HSD Tukey:
                                         Multiple Comparison of Means - Tukey HSD, FWER=0.05                                          
======================================================================================================================================
                     group1                                          group2                     meandiff p-adj   lower   upper  reject
--------------------------------------------------------------------------------------------------------------------------------------
         replies_distilbert_False_MLPClassifier replies_distilbert_False_RandomForestClassifier   0.0342 0.0068  0.0041  0.0644   True
         replies_distilbert_False_MLPClassifier        replies_distilbert_False_RidgeClassifier   0.0342 0.0068  0.0041  0.0644   True
         replies_distilbert_False_MLPClassifier          replies_distilbert_False_XGBClassifier   0.0316 0.0261  0.0014  0.0617   True
         replies_distilbert_False_MLPClassifier           replies_distilbert_True_MLPClassifier   0.0018    0.9 -0.0284  0.0319  False
         replies_distilbert_False_MLPClassifier  replies_distilbert_True_RandomForestClassifier   0.0322  0.019  0.0021  0.0624   True
         replies_distilbert_False_MLPClassifier         replies_distilbert_True_RidgeClassifier   0.0322  0.019  0.0021  0.0624   True
         replies_distilbert_False_MLPClassifier           replies_distilbert_True_XGBClassifier   0.0271 0.1642  -0.003  0.0573  False
         replies_distilbert_False_MLPClassifier            replies_fasttext_False_MLPClassifier   0.0133    0.9 -0.0168  0.0435  False
         replies_distilbert_False_MLPClassifier   replies_fasttext_False_RandomForestClassifier    0.016    0.9 -0.0141  0.0461  False
         replies_distilbert_False_MLPClassifier          replies_fasttext_False_RidgeClassifier    0.016    0.9 -0.0141  0.0461  False
         replies_distilbert_False_MLPClassifier            replies_fasttext_False_XGBClassifier   0.0064    0.9 -0.0237  0.0366  False
         replies_distilbert_False_MLPClassifier             replies_fasttext_True_MLPClassifier   0.0102    0.9 -0.0199  0.0404  False
         replies_distilbert_False_MLPClassifier    replies_fasttext_True_RandomForestClassifier   0.0196 0.8145 -0.0106  0.0497  False
         replies_distilbert_False_MLPClassifier           replies_fasttext_True_RidgeClassifier   0.0196 0.8145 -0.0106  0.0497  False
         replies_distilbert_False_MLPClassifier             replies_fasttext_True_XGBClassifier   0.0131    0.9  -0.017  0.0432  False
         replies_distilbert_False_MLPClassifier               replies_glove_False_MLPClassifier  -0.0091    0.9 -0.0392   0.021  False
         replies_distilbert_False_MLPClassifier      replies_glove_False_RandomForestClassifier   0.0162    0.9 -0.0139  0.0464  False
         replies_distilbert_False_MLPClassifier             replies_glove_False_RidgeClassifier   0.0162    0.9 -0.0139  0.0464  False
         replies_distilbert_False_MLPClassifier               replies_glove_False_XGBClassifier   0.0107    0.9 -0.0194  0.0408  False
         replies_distilbert_False_MLPClassifier                replies_glove_True_MLPClassifier   0.0056    0.9 -0.0246  0.0357  False
