NORMALITY:
                                                         W      pval  normal
retweets_fasttext_False_XGBClassifier             0.921487  0.539580    True
retweets_fasttext_False_RandomForestClassifier    0.957149  0.788007    True
retweets_fasttext_False_RidgeClassifier           0.957149  0.788007    True
retweets_fasttext_False_MLPClassifier             0.828199  0.134851    True
retweets_glove_False_XGBClassifier                0.914922  0.497726    True
retweets_glove_False_RandomForestClassifier       0.897460  0.396007    True
retweets_glove_False_RidgeClassifier              0.897460  0.396007    True
retweets_glove_False_MLPClassifier                0.890889  0.361593    True
retweets_distilbert_False_XGBClassifier           0.928648  0.587177    True
retweets_distilbert_False_RandomForestClassifier  0.882002  0.318480    True
retweets_distilbert_False_RidgeClassifier         0.882002  0.318480    True
retweets_distilbert_False_MLPClassifier           0.889365  0.353920    True
retweets_roberta_False_XGBClassifier              0.650816  0.002722   False
retweets_roberta_False_RandomForestClassifier     0.652397  0.002841   False
retweets_roberta_False_RidgeClassifier            0.652397  0.002841   False
retweets_roberta_False_MLPClassifier              0.750735  0.030233   False
retweets_structured_False_XGBClassifier           0.940736  0.671149    True
retweets_structured_False_RandomForestClassifier  0.884268  0.329101    True
retweets_structured_False_RidgeClassifier         0.884268  0.329101    True
retweets_structured_False_MLPClassifier           0.972922  0.893655    True
retweets_roberta_True_XGBClassifier               0.687753  0.007099   False
retweets_roberta_True_RandomForestClassifier      0.698246  0.009180   False
retweets_roberta_True_RidgeClassifier             0.698246  0.009180   False
retweets_roberta_True_MLPClassifier               0.832942  0.146339    True
retweets_fasttext_True_XGBClassifier              0.834150  0.149389    True
retweets_fasttext_True_RandomForestClassifier     0.990359  0.980935    True
retweets_fasttext_True_RidgeClassifier            0.990359  0.980935    True
retweets_fasttext_True_MLPClassifier              0.944507  0.697953    True
retweets_glove_True_XGBClassifier                 0.926382  0.571917    True
retweets_glove_True_RandomForestClassifier        0.980775  0.938724    True
retweets_glove_True_RidgeClassifier               0.980775  0.938724    True
retweets_glove_True_MLPClassifier                 0.867964  0.258278    True
retweets_distilbert_True_XGBClassifier            0.931229  0.604774    True
retweets_distilbert_True_RandomForestClassifier   0.910792  0.472362    True
retweets_distilbert_True_RidgeClassifier          0.910792  0.472362    True
retweets_distilbert_True_MLPClassifier            0.975989  0.912111    True

 ANOVA:
                 sum_sq     df          F        PR(>F)
C(treatments)  0.745699   35.0  21.318679  2.577774e-93
Residual       0.863473  864.0        NaN           NaN

 HSD Tukey:
                                          Multiple Comparison of Means - Tukey HSD, FWER=0.05                                           
========================================================================================================================================
                     group1                                           group2                      meandiff p-adj   lower   upper  reject
----------------------------------------------------------------------------------------------------------------------------------------
         retweets_distilbert_False_MLPClassifier retweets_distilbert_False_RandomForestClassifier   0.0296  0.247 -0.0049   0.064  False
         retweets_distilbert_False_MLPClassifier        retweets_distilbert_False_RidgeClassifier   0.0296  0.247 -0.0049   0.064  False
         retweets_distilbert_False_MLPClassifier          retweets_distilbert_False_XGBClassifier   0.0276 0.4082 -0.0069   0.062  False
         retweets_distilbert_False_MLPClassifier           retweets_distilbert_True_MLPClassifier  -0.0036    0.9  -0.038  0.0309  False
         retweets_distilbert_False_MLPClassifier  retweets_distilbert_True_RandomForestClassifier    0.028 0.3677 -0.0064  0.0624  False
         retweets_distilbert_False_MLPClassifier         retweets_distilbert_True_RidgeClassifier    0.028 0.3677 -0.0064  0.0624  False
         retweets_distilbert_False_MLPClassifier           retweets_distilbert_True_XGBClassifier   0.0262 0.5193 -0.0082  0.0607  False
         retweets_distilbert_False_MLPClassifier            retweets_fasttext_False_MLPClassifier   0.0142    0.9 -0.0202  0.0487  False
         retweets_distilbert_False_MLPClassifier   retweets_fasttext_False_RandomForestClassifier   0.0229 0.7729 -0.0115  0.0573  False
         retweets_distilbert_False_MLPClassifier          retweets_fasttext_False_RidgeClassifier   0.0229 0.7729 -0.0115  0.0573  False
         retweets_distilbert_False_MLPClassifier            retweets_fasttext_False_XGBClassifier   0.0298 0.2325 -0.0046  0.0642  False
         retweets_distilbert_False_MLPClassifier             retweets_fasttext_True_MLPClassifier   0.0207    0.9 -0.0138  0.0551  False
         retweets_distilbert_False_MLPClassifier    retweets_fasttext_True_RandomForestClassifier   0.0278 0.3882 -0.0066  0.0622  False
         retweets_distilbert_False_MLPClassifier           retweets_fasttext_True_RidgeClassifier   0.0278 0.3882 -0.0066  0.0622  False
         retweets_distilbert_False_MLPClassifier             retweets_fasttext_True_XGBClassifier    0.034 0.0588 -0.0004  0.0684  False
         retweets_distilbert_False_MLPClassifier               retweets_glove_False_MLPClassifier   0.0062    0.9 -0.0282  0.0407  False
         retweets_distilbert_False_MLPClassifier      retweets_glove_False_RandomForestClassifier   0.0231 0.7558 -0.0113  0.0576  False
         retweets_distilbert_False_MLPClassifier             retweets_glove_False_RidgeClassifier   0.0231 0.7558 -0.0113  0.0576  False
         retweets_distilbert_False_MLPClassifier               retweets_glove_False_XGBClassifier   0.0291 0.2783 -0.0053  0.0636  False
         retweets_distilbert_False_MLPClassifier                retweets_glove_True_MLPClassifier   0.0176    0.9 -0.0169   0.052  False
